DATE_ID,erbs,EUtranCellFDD,DCVECTOR_INDEX,pmTaInit2Distr,Distance,NE,Sector
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT1_TETEHOSIIMT05,8,23306,4.45 - 5.70 km,MT,5
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT1_TETEHOSIIMT05,9,3,5.7 - 7.18 km,MT,5
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT1_TETEHOSIIMT05,10,0,7.18 - 8.74 km,MT,5
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT1_TETEHOSIIMT05,11,0,8.74 - 10.5 km,MT,5
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT1_TETEHOSIIMT05,12,0,10.5 - 12.5 km,MT,5
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT1_TETEHOSIIMT05,13,0,12.5 - 14.6 km,MT,5
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT1_TETEHOSIIMT05,14,0,14.6 - 16.9 km,MT,5
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT1_TETEHOSIIMT05,15,0,16.9 - 19.4 km,MT,5
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT1_TETEHOSIIMT05,16,0,19.4 - 22 km,MT,5
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT1_TETEHOSIIMT05,17,0,22 - 24.8 km,MT,5
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT1_TETEHOSIIMT05,18,0,24.8 - 27.9 km,MT,5
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT1_TETEHOSIIMT05,19,0,27.9 - 31.1 km,MT,5
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT1_TETEHOSIIMT06,0,7,0 - <0.08 km,MT,6
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT1_TETEHOSIIMT06,1,7,0.08 - 0.23 km,MT,6
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT1_TETEHOSIIMT06,2,4,0.23 - 0.63 km,MT,6
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT1_TETEHOSIIMT06,3,22,0.63 - 1.01 km,MT,6
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT1_TETEHOSIIMT06,4,2703,1.01 - 1.64 km,MT,6
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT1_TETEHOSIIMT06,5,11664,1.64 - 2.42 km,MT,6
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT1_TETEHOSIIMT06,6,753,2.42 - 3.36 km,MT,6
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT1_TETEHOSIIMT06,7,45,3.36 - 4.45 km,MT,6
