Site_ID,site,Cell_Name,ci,band
BIR202,BIR202MM1-PASAR-MATANG,BIR202ML3,31,1850
BIR215,BIR215MM1-PASAR-GEURUGOK,BIR215ML1_PASARGEURUGOKML01,11,1850
BIR215,BIR215MM1-PASAR-GEURUGOK,BIR215ML1_PASARGEURUGOKML02,21,1850
BIR215,BIR215MM1-PASAR-GEURUGOK,BIR215ML1_PASARGEURUGOKML03,31,1850
BIR273,BIR273MM1-PANTE-PIYEU,BIR273ML1,11,1850
BIR273,BIR273MM1-PANTE-PIYEU,BIR273ML2,21,1850
BIR273,BIR273MM1-PANTE-PIYEU,BIR273ML3,31,1850
BIR287,BIR287MM1-KOTA-JUANG-2,BIR287ML1,11,1850
BIR287,BIR287MM1-KOTA-JUANG-2,BIR287ML2,21,1850
BIR287,BIR287MM1-KOTA-JUANG-2,BIR287ML3,31,1850
BIR298,BIR298MM1-BLANG-RHEUM,BIR298MR1,13,500
BIR298,BIR298MM1-BLANG-RHEUM,BIR298MR2,23,500
BIR302,BIR302MM1-COT-ULIM,BIR302MR1,13,500
BIR302,BIR302MM1-COT-ULIM,BIR302MR2,23,500
BIR302,BIR302MM1-COT-ULIM,BIR302MR3,33,500
BIR307,BIR307MM1-TAMBO-TANJONG,BIR307ML1,11,1850
BIR307,BIR307MM1-TAMBO-TANJONG,BIR307ML2,21,1850
BIR307,BIR307MM1-TAMBO-TANJONG,BIR307ML3,31,1850
BIR309,BIR309MM2-SAWANG-KOTA-HUB-TEL,BIR309MR1,13,500
BIR309,BIR309MM2-SAWANG-KOTA-HUB-TEL,BIR309MR2,23,500
BIR309,BIR309MM2-SAWANG-KOTA-HUB-TEL,BIR309MR3,33,500
BIR324,BIR324MM1-PELABUHAN-LHOKSUMAWE,BIR324ML1,11,1850
BIR324,BIR324MM1-PELABUHAN-LHOKSUMAWE,BIR324ML2,21,1850
BIR324,BIR324MM1-PELABUHAN-LHOKSUMAWE,BIR324ML3,31,1850
BIR338,BIR338MM1-GEULANGGANG-MEUNJEE,BIR338ML1,11,1850
BIR338,BIR338MM1-GEULANGGANG-MEUNJEE,BIR338ML2,21,1850
BIR338,BIR338MM1-GEULANGGANG-MEUNJEE,BIR338ML3,31,1850
BIR341,BIR341MM1-LAMKUTA,BIR341ML1,11,1850
BIR341,BIR341MM1-LAMKUTA,BIR341ML2,21,1850
BIR341,BIR341MM1-LAMKUTA,BIR341ML3,31,1850
BIR344,BIR344MM1-KUTA-TRIENG,BIR344ML1,11,1850
