Site_ID,site,Cell_Name,ci,band
GST407,E-GST407MM1-BEO-SAEWE,GST407MT1,12,3500
GST407,E-GST407MM1-BEO-SAEWE,GST407MT2,22,3500
GST407,E-GST407MM1-BEO-SAEWE,GST407MT3,32,3500
KPD024,KPD024MM1-SITARDAS,KPD024MT1,12,3500
KPD024,KPD024MM1-SITARDAS,KPD024MT2,22,3500
KPD024,KPD024MM1-SITARDAS,KPD024MT3,32,3500
PMR024,PMR024MM2-TARATAK-NAGODANG,PMR024MT1,12,3500
PMR024,PMR024MM2-TARATAK-NAGODANG,PMR024MT2,22,3500
PMR024,PMR024MM2-TARATAK-NAGODANG,PMR024MT3,32,3500
PMR125,PMR125MM1-NAGORI-GORAK,PMR125MT1,12,3500
PMR125,PMR125MM1-NAGORI-GORAK,PMR125MT2,22,3500
PMR125,PMR125MM1-NAGORI-GORAK,PMR125MT3,32,3500
PMR409,PMR409MM2-SIMPANG-PATRA-PARAPAT,PMR409MT1,12,3500
PMR409,PMR409MM2-SIMPANG-PATRA-PARAPAT,PMR409MT2,22,3500
PMR409,PMR409MM2-SIMPANG-PATRA-PARAPAT,PMR409MT3,32,3500
PSP081,PSP081MM1-BINANGA-TOLU,PSP081MT1,12,3500
PSP081,PSP081MM1-BINANGA-TOLU,PSP081MT2,22,3500
PSP081,PSP081MM1-BINANGA-TOLU,PSP081MT3,32,3500
PSP368,PSP368MM1-PORTIBI-2,PSP368MT1,12,3500
PSP368,PSP368MM1-PORTIBI-2,PSP368MT2,22,3500
PSP368,PSP368MM1-PORTIBI-2,PSP368MT3,32,3500
PSP375,PSP375MM1-DESA-DAMPARAN,PSP375MT1,12,3500
PSP375,PSP375MM1-DESA-DAMPARAN,PSP375MT2,22,3500
PSP375,PSP375MM1-DESA-DAMPARAN,PSP375MT3,32,3500
PSP382,PSP382MM1-BUNGA-BONDAR,PSP382MT1,12,3500
PSP382,PSP382MM1-BUNGA-BONDAR,PSP382MT2,22,3500
PSP382,PSP382MM1-BUNGA-BONDAR,PSP382MT3,32,3500
RAP257,RAP257MM2-PEKAN-BILAH,RAP257ML1,11,1850
RAP257,RAP257MM2-PEKAN-BILAH,RAP257ML2,21,1850
RAP257,RAP257MM2-PEKAN-BILAH,RAP257ML3,31,1850
RAP396,RAP396MM1-PARE-PARE-TENGAH,RAP396MT1,12,3500
RAP396,RAP396MM1-PARE-PARE-TENGAH,RAP396MT2,22,3500
RAP396,RAP396MM1-PARE-PARE-TENGAH,RAP396MT3,32,3500
TRT756,TRT756MM1-JAMBUR-NAULI,TRT756ML1,11,1850
TRT756,TRT756MM1-JAMBUR-NAULI,TRT756ML2,21,1850
TRT756,TRT756MM1-JAMBUR-NAULI,TRT756ML3,31,1850
PMR712,PMR712MM1-NAGA-JAYA,PMR712MT1,12,3500
PMR712,PMR712MM1-NAGA-JAYA,PMR712MT2,22,3500
PMR712,PMR712MM1-NAGA-JAYA,PMR712MT3,32,3500
PSP548,PSP548MM1-REP-SIMANDIANGIN,PSP548MT1,12,3500
PSP548,PSP548MM1-REP-SIMANDIANGIN,PSP548MT2,22,3500
LGS051,LGS051MM1-SELEBOK-CINA,LGS051MT1,12,3500
LGS051,LGS051MM1-SELEBOK-CINA,LGS051MT2,22,3500
LGS051,LGS051MM1-SELEBOK-CINA,LGS051MT3,32,3500
JHO315,JHO315MM1-REP-ALUE-GLONG,JHO315MT1,12,3500
JHO315,JHO315MM1-REP-ALUE-GLONG,JHO315MT2,22,3500
JHO315,JHO315MM1-REP-ALUE-GLONG,JHO315MT3,32,3500
MAK131,MAK131MM2-BLANG-ARA,MAK131MT1,12,3500
MAK131,MAK131MM2-BLANG-ARA,MAK131MT2,22,3500
MAK131,MAK131MM2-BLANG-ARA,MAK131MT3,32,3500
MBO096,MBO096MM1-SUAK-RUBEE,MBO096MT1,12,3500
MBO096,MBO096MM1-SUAK-RUBEE,MBO096MT2,22,3500
MBO096,MBO096MM1-SUAK-RUBEE,MBO096MT3,32,3500
MBO123,MBO123MM1-SEUNEUBOK-LUENG,MBO123MT1,12,3500
MBO123,MBO123MM1-SEUNEUBOK-LUENG,MBO123MT2,22,3500
MBO123,MBO123MM1-SEUNEUBOK-LUENG,MBO123MT3,32,3500
NAD025,NAD025MM1-NEUHEN3,NAD025MT1,12,3500
NAD025,NAD025MM1-NEUHEN3,NAD025MT2,22,3500
NAD025,NAD025MM1-NEUHEN3,NAD025MT3,32,3500
NAD098,NAD098MM1-KETAPANG3,NAD098ML1,11,1850
NAD098,NAD098MM1-KETAPANG3,NAD098ML2,21,1850
NAD098,NAD098MM1-KETAPANG3,NAD098ML3,31,1850
NAD122,NAD122MM1-BANK-BRI,NAD122ML1,11,1850
NAD122,NAD122MM1-BANK-BRI,NAD122ML2,21,1850
NAD122,NAD122MM1-BANK-BRI,NAD122ML3,31,1850
SDK104,SDK104MM1-PANCURAN,SDK104MT1,12,3500
SDK104,SDK104MM1-PANCURAN,SDK104MT2,22,3500
SDK104,SDK104MM1-PANCURAN,SDK104MT3,32,3500
SGI504,SGI504MM1-GAROT-SIGLI,SGI504MT1,12,3500
SGI504,SGI504MM1-GAROT-SIGLI,SGI504MT2,22,3500
SGI504,SGI504MM1-GAROT-SIGLI,SGI504MT3,32,3500
SKL056,E_SKL056MM1_REPELITA,SKL056MT1,12,3500
SKL056,E_SKL056MM1_REPELITA,SKL056MT2,22,3500
SKL056,E_SKL056MM1_REPELITA,SKL056MT3,32,3500
TKN258,TKN258MM1-SEMELIT-MUTIARA,TKN258MT1,12,3500
TKN258,TKN258MM1-SEMELIT-MUTIARA,TKN258MT2,22,3500
TKN258,TKN258MM1-SEMELIT-MUTIARA,TKN258MT3,32,3500
TTN302,TTN302MM1-KLUET-TENGAH,TTN302MT1,12,3500
TTN302,TTN302MM1-KLUET-TENGAH,TTN302MT2,22,3500
TTN302,TTN302MM1-KLUET-TENGAH,TTN302MT3,32,3500
TTN311,TTN311MM1-REP-KLUET-TENGAH,TTN311MT1,12,3500
TTN311,TTN311MM1-REP-KLUET-TENGAH,TTN311MT2,22,3500
TTN311,TTN311MM1-REP-KLUET-TENGAH,TTN311MT3,32,3500
SDK988,SDK988MM1-KERAJAAN,SDK988MT1,12,3500
SDK988,SDK988MM1-KERAJAAN,SDK988MT2,22,3500
SDK988,SDK988MM1-KERAJAAN,SDK988MT3,32,3500
SKL602,SKL602MM1-SINGKOHOR,SKL602MT1,12,3500
SKL602,SKL602MM1-SINGKOHOR,SKL602MT2,22,3500
SKL602,SKL602MM1-SINGKOHOR,SKL602MT3,32,3500
SAB005,E_SAB005MM1_SABANG-REP-BATETAMON-HUB_TBG,SAB005MT1,12,3500
SAB005,E_SAB005MM1_SABANG-REP-BATETAMON-HUB_TBG,SAB005MT2,22,3500
SAB005,E_SAB005MM1_SABANG-REP-BATETAMON-HUB_TBG,SAB005MT3,32,3500
BGE030,BGE030MM1-MATIO-2,BGE030MT1,12,3500
BGE030,BGE030MM1-MATIO-2,BGE030MT2,22,3500
BGE030,BGE030MM1-MATIO-2,BGE030MT3,32,3500
BGE032,BGE032MM1-DESA-BINANGALOM,BGE032MT1,12,3500
BGE032,BGE032MM1-DESA-BINANGALOM,BGE032MT2,22,3500
BGE032,BGE032MM1-DESA-BINANGALOM,BGE032MT3,32,3500
BGE149,BGE149MM2-SIMBOLON-PURBA,BGE149MT1,12,3500
BGE149,BGE149MM2-SIMBOLON-PURBA,BGE149MT2,22,3500
BGE149,BGE149MM2-SIMBOLON-PURBA,BGE149MT3,32,3500
GST121,GST121MM1-MUZOI,GST121MT1,12,3500
GST121,GST121MM1-MUZOI,GST121MT2,22,3500
GST121,GST121MM1-MUZOI,GST121MT3,32,3500
GST865,E-GST865MM1-FODO,GST865MT1,12,3500
GST865,E-GST865MM1-FODO,GST865MT2,22,3500
GST865,E-GST865MM1-FODO,GST865MT3,32,3500
KIS522,KIS522MM1-SIUMBUT-UMBUT,KIS522ML1,11,1850
KIS522,KIS522MM1-SIUMBUT-UMBUT,KIS522ML2,21,1850
KIS522,KIS522MM1-SIUMBUT-UMBUT,KIS522ML3,31,1850
PMR387,PMR387MM1-TIGARAS,PMR387MT1,12,3500
PMR387,PMR387MM1-TIGARAS,PMR387MT2,22,3500
PMR387,PMR387MM1-TIGARAS,PMR387MT3,32,3500
PMR762,PMR762MM1-SERBELAWAN-3,PMR762MT1,12,3500
PMR762,PMR762MM1-SERBELAWAN-3,PMR762MT2,22,3500
PMR762,PMR762MM1-SERBELAWAN-3,PMR762MT3,32,3500
PMS216,PMS216MM1-SILAU-MALAHA,PMS216MT1,12,3500
PMS216,PMS216MM1-SILAU-MALAHA,PMS216MT2,22,3500
PMS216,PMS216MM1-SILAU-MALAHA,PMS216MT3,32,3500
PSP449,PSP449MM1-LABUHAN-RASOKI,PSP449MT1,12,3500
PSP449,PSP449MM1-LABUHAN-RASOKI,PSP449MT2,22,3500
PSP449,PSP449MM1-LABUHAN-RASOKI,PSP449MT3,32,3500
PSP513,PSP513MM1-DOLOK,PSP513ML1,11,1850
PSP513,PSP513MM1-DOLOK,PSP513ML2,21,1850
PSP513,PSP513MM1-DOLOK,PSP513ML3,31,1850
PSP929,E-PSP929MM1-REP-TOBATAN,PSP929MT1,12,3500
PSP929,E-PSP929MM1-REP-TOBATAN,PSP929MT2,22,3500
PSP929,E-PSP929MM1-REP-TOBATAN,PSP929MT3,32,3500
PYB290,PYB290MM1-PINTU-PADANG-JAE,PYB290MT1,12,3500
PYB290,PYB290MM1-PINTU-PADANG-JAE,PYB290MT2,22,3500
PYB290,PYB290MM1-PINTU-PADANG-JAE,PYB290MT3,32,3500
PYB617,PYB617MM1-KANTOR-BUPATI-MADINA,PYB617MT1,12,3500
PYB617,PYB617MM1-KANTOR-BUPATI-MADINA,PYB617MT2,22,3500
PYB617,PYB617MM1-KANTOR-BUPATI-MADINA,PYB617MT3,32,3500
PYB691,PYB691MM1-BANGUN-PURBA-2,PYB691MT1,12,3500
PYB691,PYB691MM1-BANGUN-PURBA-2,PYB691MT2,22,3500
PYB691,PYB691MM1-BANGUN-PURBA-2,PYB691MT3,32,3500
RAP144,RAP144MM1-RANTAU-PRAPAT-2,RAP144MT1,12,3500
RAP144,RAP144MM1-RANTAU-PRAPAT-2,RAP144MT2,22,3500
RAP144,RAP144MM1-RANTAU-PRAPAT-2,RAP144MT3,32,3500
RAP458,RAP458MM1-PERK-BATANG-SEPONGGOL,RAP458MT1,12,3500
RAP458,RAP458MM1-PERK-BATANG-SEPONGGOL,RAP458MT2,22,3500
RAP458,RAP458MM1-PERK-BATANG-SEPONGGOL,RAP458MT3,32,3500
RAP962,RAP962MM1-DUSUN-MALAKA,RAP962ML1,11,1850
RAP962,RAP962MM1-DUSUN-MALAKA,RAP962ML2,21,1850
RAP962,RAP962MM1-DUSUN-MALAKA,RAP962ML3,31,1850
SBG006,E-SBG006MM1-HUTANABOLON,SBG006MT1,12,3500
SBG006,E-SBG006MM1-HUTANABOLON,SBG006MT2,22,3500
SBG006,E-SBG006MM1-HUTANABOLON,SBG006MT3,32,3500
SBG272,SBG272MM1-SIBURA-BURA-TAPIAN-NAULI,SBG272MT1,12,3500
SBG272,SBG272MM1-SIBURA-BURA-TAPIAN-NAULI,SBG272MT2,22,3500
SBG272,SBG272MM1-SIBURA-BURA-TAPIAN-NAULI,SBG272MT3,32,3500
STB144,STB144MM1-TELKOM-BATU-TIGA,STB144MT1,12,3500
STB144,STB144MM1-TELKOM-BATU-TIGA,STB144MT2,22,3500
STB144,STB144MM1-TELKOM-BATU-TIGA,STB144MT3,32,3500
TRT311,TRT311MM1-PAGAR-BATU,TRT311MT1,12,3500
TRT311,TRT311MM1-PAGAR-BATU,TRT311MT2,22,3500
TRT311,TRT311MM1-PAGAR-BATU,TRT311MT3,32,3500
TRT621,TRT621MM2-SAMPAGUL,TRT621MT1,12,3500
TRT621,TRT621MM2-SAMPAGUL,TRT621MT2,22,3500
TRT621,TRT621MM2-SAMPAGUL,TRT621MT3,32,3500
TUK430,TUK430MM1-TOMA-2,TUK430MT1,12,3500
TUK430,TUK430MM1-TOMA-2,TUK430MT2,22,3500
TUK430,TUK430MM1-TOMA-2,TUK430MT3,32,3500
PSP370,E-PSP370MM2-JANJI-RAJA,PSP370MT1,12,3500
PSP370,E-PSP370MM2-JANJI-RAJA,PSP370MT2,22,3500
PSP370,E-PSP370MM2-JANJI-RAJA,PSP370MT3,32,3500
BIR088,BIR088MM1-KRUENG-SIMPO,BIR088MT1,12,3500
BIR088,BIR088MM1-KRUENG-SIMPO,BIR088MT2,22,3500
BIR088,BIR088MM1-KRUENG-SIMPO,BIR088MT3,32,3500
BIR224,BIR224MM1-KEUJRUN-PANGOU,BIR224MT1,12,3500
BIR224,BIR224MM1-KEUJRUN-PANGOU,BIR224MT2,22,3500
BIR224,BIR224MM1-KEUJRUN-PANGOU,BIR224MT3,32,3500
BIR289,BIR289MM1-PADANG-KASAB,BIR289MT1,12,3500
BIR289,BIR289MM1-PADANG-KASAB,BIR289MT2,22,3500
BIR289,BIR289MM1-PADANG-KASAB,BIR289MT3,32,3500
LHK080,LHK080MM1-GAMPONG-ALUE-PAPEUN,LHK080MT1,12,3500
LHK080,LHK080MM1-GAMPONG-ALUE-PAPEUN,LHK080MT2,22,3500
LHK080,LHK080MM1-GAMPONG-ALUE-PAPEUN,LHK080MT3,32,3500
MAK077,MAK077MM1-BALEE,MAK077MT1,12,3500
MAK077,MAK077MM1-BALEE,MAK077MT2,22,3500
MAK077,MAK077MM1-BALEE,MAK077MT3,32,3500
MBO108,MBO108MM1-SUNGAI-MAS,MBO108MT1,12,3500
MBO108,MBO108MM1-SUNGAI-MAS,MBO108MT2,22,3500
MBO108,MBO108MM1-SUNGAI-MAS,MBO108MT3,32,3500
NAD075,NAD075MM1-PEUNYEURAT,NAD075MT1,12,3500
NAD075,NAD075MM1-PEUNYEURAT,NAD075MT2,22,3500
NAD075,NAD075MM1-PEUNYEURAT,NAD075MT3,32,3500
NAD213,NAD213MM1-COT-MASJID-2,NAD213MT1,12,3500
NAD213,NAD213MM1-COT-MASJID-2,NAD213MT2,22,3500
NAD213,NAD213MM1-COT-MASJID-2,NAD213MT3,32,3500
NAD251,NAD251MM1-NEUHEN,NAD251MT1,12,3500
NAD251,NAD251MM1-NEUHEN,NAD251MT2,22,3500
NAD251,NAD251MM1-NEUHEN,NAD251MT3,32,3500
NAD278,NAD278MM1-UJUNG-BATEE-2,NAD278MT1,12,3500
NAD278,NAD278MM1-UJUNG-BATEE-2,NAD278MT2,22,3500
NAD278,NAD278MM1-UJUNG-BATEE-2,NAD278MT3,32,3500
PMR081,PMR081MM1-PANRIBUAN,PMR081ML1,11,1850
PMR081,PMR081MM1-PANRIBUAN,PMR081ML2,21,1850
PMR081,PMR081MM1-PANRIBUAN,PMR081ML3,31,1850
SGI030,SGI030MM2-DESA-TEUNONG,SGI030MT1,12,3500
SGI030,SGI030MM2-DESA-TEUNONG,SGI030MT2,22,3500
SGI030,SGI030MM2-DESA-TEUNONG,SGI030MT3,32,3500
SGI111,SGI111MM1-KETAPANG-BAMBONG,SGI111MT1,12,3500
SGI111,SGI111MM1-KETAPANG-BAMBONG,SGI111MT2,22,3500
SGI111,SGI111MM1-KETAPANG-BAMBONG,SGI111MT3,32,3500
TKN747,TKN747MM1-SINGAHMULO,TKN747MT1,12,3500
TKN747,TKN747MM1-SINGAHMULO,TKN747MT2,22,3500
TKN747,TKN747MM1-SINGAHMULO,TKN747MT3,32,3500
TTN301,TTN301MM1-LABUHAN-HAJI-BARAT,TTN301MT1,12,3500
TTN301,TTN301MM1-LABUHAN-HAJI-BARAT,TTN301MT2,22,3500
TTN301,TTN301MM1-LABUHAN-HAJI-BARAT,TTN301MT3,32,3500
RAP627,RAP627MM2-LANGGA-PAYUNG-HUB-TEL,RAP627ME1,14,38750
RAP627,RAP627MM2-LANGGA-PAYUNG-HUB-TEL,RAP627ME2,24,38750
RAP627,RAP627MM2-LANGGA-PAYUNG-HUB-TEL,RAP627ME3,34,38750
BGE200,BGE200MM1-AMBAR-HALIM,BGE200MT1,12,3500
BGE200,BGE200MM1-AMBAR-HALIM,BGE200MT2,22,3500
BGE200,BGE200MM1-AMBAR-HALIM,BGE200MT3,32,3500
LBP034,LBP034MM1-LIMBONG,LBP034MT1,12,3500
LBP034,LBP034MM1-LIMBONG,LBP034MT2,22,3500
LBP034,LBP034MM1-LIMBONG,LBP034MT3,32,3500
BIR266,BIR266MM1-GELANGGANG-BARU,BIR266MT1,12,3500
BIR266,BIR266MM1-GELANGGANG-BARU,BIR266MT2,22,3500
BIR266,BIR266MM1-GELANGGANG-BARU,BIR266MT3,32,3500
CAG037,CAG037MM1-SANGO,CAG037MT1,12,3500
CAG037,CAG037MM1-SANGO,CAG037MT2,22,3500
CAG037,CAG037MM1-SANGO,CAG037MT3,32,3500
CAG555,CAG555MM1-SAMPOINIET-2,CAG555MT1,12,3500
CAG555,CAG555MM1-SAMPOINIET-2,CAG555MT2,22,3500
CAG555,CAG555MM1-SAMPOINIET-2,CAG555MT3,32,3500
DLS748,E-DLS748MM1-SIHOTANG-HASUGIAN-DOLOK-II,DLS748MT1,12,3500
DLS748,E-DLS748MM1-SIHOTANG-HASUGIAN-DOLOK-II,DLS748MT2,22,3500
DLS748,E-DLS748MM1-SIHOTANG-HASUGIAN-DOLOK-II,DLS748MT3,32,3500
GST868,E-GST868MM1-LAUSO,GST868MT1,12,3500
GST868,E-GST868MM1-LAUSO,GST868MT2,22,3500
GST868,E-GST868MM1-LAUSO,GST868MT3,32,3500
KBJ049,KBJ049MM1-RAYA-BRASTAGI-2,KBJ049MT1,12,3500
KBJ049,KBJ049MM1-RAYA-BRASTAGI-2,KBJ049MT2,22,3500
KBJ049,KBJ049MM1-RAYA-BRASTAGI-2,KBJ049MT3,32,3500
KBJ058,KBJ058MM1-BANDAR-PURBA,KBJ058MT1,12,3500
KBJ058,KBJ058MM1-BANDAR-PURBA,KBJ058MT2,22,3500
KBJ058,KBJ058MM1-BANDAR-PURBA,KBJ058MT3,32,3500
KIS584,KIS584MM1-SEI-KEPAYANG-TENGAH,KIS584MT1,12,3500
KIS584,KIS584MM1-SEI-KEPAYANG-TENGAH,KIS584MT2,22,3500
KIS584,KIS584MM1-SEI-KEPAYANG-TENGAH,KIS584MT3,32,3500
KIS608,KIS608MM1-SILO-BARU,KIS608MT1,12,3500
KIS608,KIS608MM1-SILO-BARU,KIS608MT2,22,3500
KIS608,KIS608MM1-SILO-BARU,KIS608MT3,32,3500
KIS752,KIS752MM1-126-ASRAMA-TNI,KIS752MT1,12,3500
KIS752,KIS752MM1-126-ASRAMA-TNI,KIS752MT2,22,3500
KIS752,KIS752MM1-126-ASRAMA-TNI,KIS752MT3,32,3500
KRB736,KRB736MM1-BLANGKANDIS,KRB736MT1,12,3500
KRB736,KRB736MM1-BLANGKANDIS,KRB736MT2,22,3500
KRB736,KRB736MM1-BLANGKANDIS,KRB736MT3,32,3500
LGS105,LGS105MM1-DARUL-FALAH,LGS105MT1,12,3500
LGS105,LGS105MM1-DARUL-FALAH,LGS105MT2,22,3500
LGS105,LGS105MM1-DARUL-FALAH,LGS105MT3,32,3500
LGS189,LGS189MM1-DESA-ALUE-DUA,LGS189MT1,12,3500
LGS189,LGS189MM1-DESA-ALUE-DUA,LGS189MT2,22,3500
LGS189,LGS189MM1-DESA-ALUE-DUA,LGS189MT3,32,3500
LHK019,LHK019MM1-MATANG-KULI,LHK019MT1,12,3500
LHK019,LHK019MM1-MATANG-KULI,LHK019MT2,22,3500
LHK019,LHK019MM1-MATANG-KULI,LHK019MT3,32,3500
LHK317,LHK317MM1-ULEE-PULO,LHK317MT1,12,3500
LHK317,LHK317MM1-ULEE-PULO,LHK317MT2,22,3500
LHK317,LHK317MM1-ULEE-PULO,LHK317MT3,32,3500
MAK035,MAK035MM1-ALUE-WAKIE,MAK035MT1,12,3500
MAK035,MAK035MM1-ALUE-WAKIE,MAK035MT2,22,3500
MAK035,MAK035MM1-ALUE-WAKIE,MAK035MT3,32,3500
MAK081,MAK081MM1-SEUNEBOK-TRAP,MAK081MT1,12,3500
MAK081,MAK081MM1-SEUNEBOK-TRAP,MAK081MT2,22,3500
MAK081,MAK081MM1-SEUNEBOK-TRAP,MAK081MT3,32,3500
MAK142,MAK142MM1-BO-LADANG-BARO,MAK142MT1,12,3500
MAK142,MAK142MM1-BO-LADANG-BARO,MAK142MT2,22,3500
MAK142,MAK142MM1-BO-LADANG-BARO,MAK142MT3,32,3500
MBO083,MBO083MM1-COT-RAMBONG,MBO083MT1,12,3500
MBO083,MBO083MM1-COT-RAMBONG,MBO083MT2,22,3500
MBO083,MBO083MM1-COT-RAMBONG,MBO083MT3,32,3500
MBO113,MBO113MM1-SUAK-PUNTONG,MBO113MT1,12,3500
MBO113,MBO113MM1-SUAK-PUNTONG,MBO113MT2,22,3500
MBO113,MBO113MM1-SUAK-PUNTONG,MBO113MT3,32,3500
PMR244,PMR244MM1-BONSAI,PMR244MT1,12,3500
PMR244,PMR244MM1-BONSAI,PMR244MT2,22,3500
PMR244,PMR244MM1-BONSAI,PMR244MT3,32,3500
PSP131,PSP131MM1-HUTA-NOPAN,PSP131MT1,12,3500
PSP131,PSP131MM1-HUTA-NOPAN,PSP131MT2,22,3500
PSP131,PSP131MM1-HUTA-NOPAN,PSP131MT3,32,3500
PSP331,PSP331MM1-HORUON,PSP331MT1,12,3500
PSP331,PSP331MM1-HORUON,PSP331MT2,22,3500
PSP331,PSP331MM1-HORUON,PSP331MT3,32,3500
PSP555,PSP555MM1-PAGARANBIRA-JULU,PSP555MT1,12,3500
PSP555,PSP555MM1-PAGARANBIRA-JULU,PSP555MT2,22,3500
PSP555,PSP555MM1-PAGARANBIRA-JULU,PSP555MT3,32,3500
PYB237,PYB237MM1-SUNDUTAN-TIGO,PYB237MT1,12,3500
PYB237,PYB237MM1-SUNDUTAN-TIGO,PYB237MT2,22,3500
PYB237,PYB237MM1-SUNDUTAN-TIGO,PYB237MT3,32,3500
PYB241,PYB241MM1-DESA-SIKARA-KARA,PYB241MT1,12,3500
PYB241,PYB241MM1-DESA-SIKARA-KARA,PYB241MT2,22,3500
PYB241,PYB241MM1-DESA-SIKARA-KARA,PYB241MT3,32,3500
RAP272,E-RAP272MM1-JAMBU-TONANG,RAP272MT1,12,3500
RAP272,E-RAP272MM1-JAMBU-TONANG,RAP272MT2,22,3500
RAP272,E-RAP272MM1-JAMBU-TONANG,RAP272MT3,32,3500
RAP304,RAP304MM1-BANDAR-KUMBUL,RAP304MT1,12,3500
RAP304,RAP304MM1-BANDAR-KUMBUL,RAP304MT2,22,3500
RAP304,RAP304MM1-BANDAR-KUMBUL,RAP304MT3,32,3500
RAP400,RAP400MM1-AEK-SIMANAT,RAP400MT1,12,3500
RAP400,RAP400MM1-AEK-SIMANAT,RAP400MT2,22,3500
RAP400,RAP400MM1-AEK-SIMANAT,RAP400MT3,32,3500
BGE017,BGE017MM1-JANGGA-DOLOK,BGE017MT1,12,3500
BGE017,BGE017MM1-JANGGA-DOLOK,BGE017MT2,22,3500
BGE017,BGE017MM1-JANGGA-DOLOK,BGE017MT3,32,3500
BGE648,BGE648MM1-PASARAN-1-SIRAIT,BGE648MT1,12,3500
BGE648,BGE648MM1-PASARAN-1-SIRAIT,BGE648MT2,22,3500
BGE648,BGE648MM1-PASARAN-1-SIRAIT,BGE648MT3,32,3500
BGE673,BGE673MM1-PARBABA-2,BGE673MT1,12,3500
BGE673,BGE673MM1-PARBABA-2,BGE673MT2,22,3500
BGE673,BGE673MM1-PARBABA-2,BGE673MT3,32,3500
BIR149,BIR149MM1-SIMPANG-JAYA,BIR149MT1,12,3500
BIR149,BIR149MM1-SIMPANG-JAYA,BIR149MT2,22,3500
BIR149,BIR149MM1-SIMPANG-JAYA,BIR149MT3,32,3500
BIR373,BIR373MM1-KRUENG-JULI-BARAT,BIR373MT1,12,3500
BIR373,BIR373MM1-KRUENG-JULI-BARAT,BIR373MT2,22,3500
BIR373,BIR373MM1-KRUENG-JULI-BARAT,BIR373MT3,32,3500
BIR412,BIR412MM1-UTEUN-SIKUMBONG,BIR412MT1,12,3500
BIR412,BIR412MM1-UTEUN-SIKUMBONG,BIR412MT2,22,3500
BIR412,BIR412MM1-UTEUN-SIKUMBONG,BIR412MT3,32,3500
BPD110,BPD110MM1-REP-SIMPANG-GADING,BPD110MT1,12,3500
BPD110,BPD110MM1-REP-SIMPANG-GADING,BPD110MT2,22,3500
BPD110,BPD110MM1-REP-SIMPANG-GADING,BPD110MT3,32,3500
CAG039,CAG039MM1-CEURACEU,CAG039MT1,12,3500
CAG039,CAG039MM1-CEURACEU,CAG039MT2,22,3500
CAG039,CAG039MM1-CEURACEU,CAG039MT3,32,3500
CAG040,CAG040MM1-JAMBO-MASI,CAG040MT1,12,3500
CAG040,CAG040MM1-JAMBO-MASI,CAG040MT2,22,3500
CAG040,CAG040MM1-JAMBO-MASI,CAG040MT3,32,3500
CAG066,CAG066MM1-MEUDHEUN,CAG066MT1,12,3500
CAG066,CAG066MM1-MEUDHEUN,CAG066MT2,22,3500
CAG066,CAG066MM1-MEUDHEUN,CAG066MT3,32,3500
CAG076,CAG076MM1-PANTEE-KUYUN,CAG076MT1,12,3500
CAG076,CAG076MM1-PANTEE-KUYUN,CAG076MT2,22,3500
CAG076,CAG076MM1-PANTEE-KUYUN,CAG076MT3,32,3500
CAG554,CAG554MM1-CEUNAMPRONG,CAG554MT1,12,3500
CAG554,CAG554MM1-CEUNAMPRONG,CAG554MT2,22,3500
CAG554,CAG554MM1-CEUNAMPRONG,CAG554MT3,32,3500
DLS040,DLS040MM1-TB-DMT-PANDUMAAN,DLS040MT1,12,3500
DLS040,DLS040MM1-TB-DMT-PANDUMAAN,DLS040MT2,22,3500
DLS040,DLS040MM1-TB-DMT-PANDUMAAN,DLS040MT3,32,3500
DLS448,E-DLS448MM1-SIHIKKIT,DLS448MT1,12,3500
DLS448,E-DLS448MM1-SIHIKKIT,DLS448MT2,22,3500
DLS448,E-DLS448MM1-SIHIKKIT,DLS448MT3,32,3500
DLS675,DLS675MM1-LUMBAN-SITINJAK,DLS675MT1,12,3500
DLS675,DLS675MM1-LUMBAN-SITINJAK,DLS675MT2,22,3500
DLS675,DLS675MM1-LUMBAN-SITINJAK,DLS675MT3,32,3500
DLS728,DLS728MM1-BO-HUTARAJA,DLS728MT1,12,3500
DLS728,DLS728MM1-BO-HUTARAJA,DLS728MT2,22,3500
DLS728,DLS728MM1-BO-HUTARAJA,DLS728MT3,32,3500
GST029,GST029MM1-HILIGANOITA,GST029MT1,12,3500
GST029,GST029MM1-HILIGANOITA,GST029MT2,22,3500
GST029,GST029MM1-HILIGANOITA,GST029MT3,32,3500
GST051,GST051MM1-DESA-LAAYA,GST051MT1,12,3500
GST051,GST051MM1-DESA-LAAYA,GST051MT2,22,3500
GST051,GST051MM1-DESA-LAAYA,GST051MT3,32,3500
GST054,E-GST054MM1-HILIHAMBAWA,GST054MT1,12,3500
GST054,E-GST054MM1-HILIHAMBAWA,GST054MT2,22,3500
GST054,E-GST054MM1-HILIHAMBAWA,GST054MT3,32,3500
GST184,GST184MM1-BAWOLAHUSA,GST184MT1,12,3500
GST184,GST184MM1-BAWOLAHUSA,GST184MT2,22,3500
GST184,GST184MM1-BAWOLAHUSA,GST184MT3,32,3500
GST256,GST256MM1-BOZIHONA,GST256MT1,12,3500
GST256,GST256MM1-BOZIHONA,GST256MT2,22,3500
GST256,GST256MM1-BOZIHONA,GST256MT3,32,3500
GST700,GST700MM1-TETEHOSI-2,GST700MT1,12,3500
GST700,GST700MM1-TETEHOSI-2,GST700MT2,22,3500
